ID,Cluster,MetaModel,Purpose,KeyObjects,OwnerArchetype,Bind,Status
S6,Security Ownership & Access,Verification & ZK Attestation,Prove predicates without disclosing data,"attested_predicate; proof; verifier; validity",prover (owner) and verifier,MU Zero-Knowledge-Attestation,candidate
S7,Security Ownership & Access,Access Enforcement & Breach,"Violations as anti-value: sanctions, remedies","breach; anti_value_booking; sanction; remedy",courts (A6) + enforcement per Charter,MOS Value-Money-Coupling,candidate
A10,Polity (ext),Lawmaking & Legislative Voting,"Bills, readings, amendments, votes, enactment","bill; reading; amendment; vote; enactment",legislature (A2 branch),Akoma Ntoso; MOS voting,candidate
A11,Polity (ext),Public Office & Official,"Offices, officeholders, appointments, accountability","office; officeholder; appointment; declaration",appointing authority; register public per A12,CPSV; W3C ORG,candidate
A12,Polity (ext),State Registry Mandate,Which registers the state must keep and how,"mandate; registrar_assignment; public_faith_rule",constitution/legislature,legal,candidate
B10,Society (ext),Personal Health,Health status and care of a person,"condition; encounter; observation; care_plan",the person (strictest S defaults),HL7 FHIR,candidate
B11,Society (ext),Personal Property & Assets,Person-side view of owned things,"holding; acquisition; disposal; encumbrance",the person,LADM; registers via R,candidate
B12,Society (ext),Life Events & Civil Status,"Birth, marriage, divorce, death","life_event; civil_status; certificate_ref",the person; civil registrar keeps the register,civil registration standards,candidate
C7,Economy (ext),Price Valuation & Appraisal,"Price observations, appraisals, indices","price_observation; appraisal; index; methodology",observing/appraising organization,SDMX; appraisal standards,candidate
C8,Economy (ext),Insurance & Risk Pooling,"Policies, pools, claims as value routing","policy; pool; premium; claim",insurer and insured (bilateral),ACORD,candidate
